id,department,phone
0,neurosciences critical care unit,01223216297
1,trauma high dependency unit,01223216305
2,neurology neurosurgery,01223217216
3,oncology neurosurgery,01223216314
4,children 's oncology and haematology,01223217231
5,children 's surgical and medicine,01223217450
6,acute medicine for the elderly,01223217261
7,general medicine and nephrology,01223217195
8,medicine for the elderly,01223216988
9,hepatobillary and gastrointestinal surgery regional referral centre,01223217300
10,trauma and orthopaedics,01223217279
11,teenage cancer trust unit,01223274222
12,haematology and haematological oncology,01223217312
13,children 's surgical and medicine,01223217250
14,intermediate dependancy area,01223348144
15,hepatology,01223217712
16,haematology,01223274679
17,neurology,01223274680
18,surgery,01223217303
19,trauma and orthopaedics,01223217282
20,oncology,01223217708
21,infectious diseases,01223217314
22,haematology day unit,01223348169
23,clinical decisions unit,01223596203
24,acute medical assessment unit,01223348314
25,medical short stay unit,01223348336
26,inpatient occupational therapy,01223216881
27,paediatric day unit,01223217567
28,paediatric clinic,01223348313
29,medicine for the elderly,01223274744
30,transplant high dependency unit,01223216811
31,diabetes and endocrinology,01223217323
32,infusion services,01223586967
33,medicine for the elderly,01223217484
34,medicine for the elderly,01223217498
35,transplant unit,01223217711
36,medicine for the elderly,01223217428
37,theatre admissions unit,01223256583
38,cardiology,01223256233
39,major trauma unit,01223349881
40,cardiology and coronary care unit,01223256459
41,colorectal surgery,01223348545
42,plastic and vascular surgery plastics,01223274280
43,gastroenterology,01223274284
44,oral and maxillofacial surgery and ent,01223348527
45,urology,01223256650
46,respiratory medicine,01223256645
47,lewin stroke and rehabilitation unit,01223274750
48,neurosciences,01223216348
49,psychiatry,01223596201
50,emergency department,01223217118
51,cambridge eye unit,01223257168
52,clinical investigation ward,01223586706
53,clinical research facility,01223596055
54,coronary care unit,01223217297
55,intermediate dependency area,01223217873
56,medical decisions unit,01223596066
57,paediatric intensive care unit,01223217715
58,paediatric day unit,01223257157
59,john farman intensive care unit,01223256166
60,delivery unit,01223217217
61,postnatal,01223217667
62,neonatal unit,01223217678
63,antenatal,01223217671
64,transitional care,01223254668
65,gynaecology,01223257206
